127.0.0.1, 2014-10-02 14:47:52, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2014-10-02 14:51:24, GET, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.048765
127.0.0.1, 2014-10-02 14:51:24, GET, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.049773
127.0.0.1, 2014-10-02 14:51:24, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.078547
127.0.0.1, 2014-10-02 14:51:24, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.107618
127.0.0.1, 2014-10-02 14:51:25, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.147295
127.0.0.1, 2014-10-02 14:51:25, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.020362
127.0.0.1, 2014-10-02 14:51:52, GET, /admin/default/edit/myapp/views/default/index.html, HTTP/1.1, 200, 0.039847
127.0.0.1, 2014-10-02 14:51:52, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.011013
127.0.0.1, 2014-10-02 14:51:58, POST, /admin/default/edit/myapp/views/default/index.html, HTTP/1.1, 200, 0.041397
127.0.0.1, 2014-10-02 14:52:00, POST, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.060775
127.0.0.1, 2014-10-02 14:52:17, GET, /myapp/default/index, HTTP/1.1, 500, 2.300345
127.0.0.1, 2014-10-02 14:52:26, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.037878
127.0.0.1, 2014-10-02 14:52:34, POST, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.044718
127.0.0.1, 2014-10-02 14:52:39, GET, /myapp/default/index, HTTP/1.1, 200, 0.191529
127.0.0.1, 2014-10-02 14:53:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.045345
127.0.0.1, 2014-10-02 14:54:00, GET, /admin/default/edit/myapp/views/default/first.html, HTTP/1.1, 200, 0.037349
127.0.0.1, 2014-10-02 14:54:00, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.010566
127.0.0.1, 2014-10-02 14:54:04, POST, /admin/default/edit/myapp/views/default/first.html, HTTP/1.1, 200, 0.045877
127.0.0.1, 2014-10-02 14:54:10, GET, /admin/default/edit/myapp/views/default/second.html, HTTP/1.1, 200, 0.038847
127.0.0.1, 2014-10-02 14:54:10, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.011705
127.0.0.1, 2014-10-02 14:54:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.035414
127.0.0.1, 2014-10-02 14:54:56, POST, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.059087
127.0.0.1, 2014-10-02 14:55:11, POST, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.052827
127.0.0.1, 2014-10-02 14:55:14, POST, /admin/default/edit/myapp/views/default/second.html, HTTP/1.1, 200, 0.038824
127.0.0.1, 2014-10-02 14:55:17, GET, /myapp/default/first, HTTP/1.1, 200, 0.416284
127.0.0.1, 2014-10-02 14:55:21, GET, /myapp/default/second, HTTP/1.1, 200, 0.084480
127.0.0.1, 2014-10-02 14:55:25, POST, /admin/default/edit/myapp/views/default/second.html, HTTP/1.1, 200, 0.039034
127.0.0.1, 2014-10-02 14:55:35, POST, /admin/default/edit/myapp/views/default/second.html, HTTP/1.1, 200, 0.042882
127.0.0.1, 2014-10-02 14:55:48, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.036061
127.0.0.1, 2014-10-02 14:56:55, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.036244
127.0.0.1, 2014-10-02 14:57:59, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.037002
127.0.0.1, 2014-10-02 14:59:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.048435
127.0.0.1, 2014-10-02 15:00:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.042138
127.0.0.1, 2014-10-02 15:01:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.037673
127.0.0.1, 2014-10-02 15:02:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.043621
127.0.0.1, 2014-10-02 15:03:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.041248
127.0.0.1, 2014-10-02 15:04:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.042275
127.0.0.1, 2014-10-02 15:05:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.040460
127.0.0.1, 2014-10-02 15:06:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.036612
127.0.0.1, 2014-10-02 15:07:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.035595
127.0.0.1, 2014-10-02 15:08:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.038021
127.0.0.1, 2014-10-02 15:09:05, POST, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.055056
127.0.0.1, 2014-10-02 15:09:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.042968
127.0.0.1, 2014-10-02 15:09:18, POST, /admin/default/edit/myapp/views/default/first.html, HTTP/1.1, 200, 0.054855
127.0.0.1, 2014-10-02 15:10:28, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.038801
127.0.0.1, 2014-10-02 15:11:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.045038
127.0.0.1, 2014-10-02 15:12:45, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.048746
127.0.0.1, 2014-10-02 15:13:51, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.036478
127.0.0.1, 2014-10-02 15:15:00, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.037242
127.0.0.1, 2014-10-02 15:16:01, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.036899
127.0.0.1, 2014-10-02 15:17:20, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.037911
127.0.0.1, 2014-10-02 15:18:31, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.037283
127.0.0.1, 2014-10-02 15:19:51, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.043885
127.0.0.1, 2014-10-02 15:21:07, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.045544
127.0.0.1, 2014-10-02 15:22:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.038145
127.0.0.1, 2014-10-02 15:23:31, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.047478
127.0.0.1, 2014-10-02 15:23:36, GET, /myapp/default/first, HTTP/1.1, 200, 0.091891
127.0.0.1, 2014-10-02 15:23:38, POST, /myapp/default/first, HTTP/1.1, 200, 0.590614
127.0.0.1, 2014-10-02 15:23:54, POST, /admin/default/edit/myapp/views/default/first.html, HTTP/1.1, 200, 0.043342
127.0.0.1, 2014-10-02 15:23:55, GET, /myapp/default/first, HTTP/1.1, 200, 0.161631
127.0.0.1, 2014-10-02 15:23:57, POST, /myapp/default/first, HTTP/1.1, 200, 0.168215
127.0.0.1, 2014-10-02 15:24:03, GET, /myapp/default/first, HTTP/1.1, 200, 0.150162
127.0.0.1, 2014-10-02 15:24:08, POST, /admin/default/edit/myapp/views/default/first.html, HTTP/1.1, 200, 0.039338
127.0.0.1, 2014-10-02 15:24:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.051838
127.0.0.1, 2014-10-02 15:26:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.043052
127.0.0.1, 2014-10-02 15:27:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.037320
127.0.0.1, 2014-10-02 15:28:21, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.041153
127.0.0.1, 2014-10-02 15:29:32, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.044084
127.0.0.1, 2014-10-02 15:30:33, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.041182
127.0.0.1, 2014-10-02 15:31:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.041874
127.0.0.1, 2014-10-02 15:32:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.060035
127.0.0.1, 2014-10-02 15:33:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.089991
127.0.0.1, 2014-10-02 15:34:39, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.030183
127.0.0.1, 2014-10-02 15:35:44, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.041967
127.0.0.1, 2014-10-02 15:36:45, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.059770
127.0.0.1, 2014-10-02 15:37:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.037284
127.0.0.1, 2014-10-02 15:38:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.048660
127.0.0.1, 2014-10-02 15:39:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.044241
127.0.0.1, 2014-10-02 15:40:48, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.042153
127.0.0.1, 2014-10-02 15:41:59, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.043474
127.0.0.1, 2014-10-02 15:43:00, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.041154
127.0.0.1, 2014-10-02 15:44:01, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.052191
127.0.0.1, 2014-10-02 15:45:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.035689
127.0.0.1, 2014-10-02 15:46:07, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.056247
127.0.0.1, 2014-10-02 15:47:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.048599
127.0.0.1, 2014-10-02 15:48:28, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.035112
127.0.0.1, 2014-10-02 15:49:29, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.047428
127.0.0.1, 2014-10-02 15:50:33, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.041122
127.0.0.1, 2014-10-02 15:51:33, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.074282
127.0.0.1, 2014-10-02 15:52:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.049509
127.0.0.1, 2014-10-02 15:53:35, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.043498
127.0.0.1, 2014-10-02 15:54:44, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.063281
127.0.0.1, 2014-10-02 15:55:44, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.037633
127.0.0.1, 2014-10-02 15:56:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.042350
